Industry,Skill Set,Skill,Skill Type,,,,
Retail Trade,Programming/Technical,PR,STATA ,,,,
Retail Trade,Programming/Technical,PR,R,,,,
Retail Trade,Modeling,MOD,Statistic modeling,,,,
Retail Trade,Modeling,MOD,Statistic modeling,,,,
Retail Trade,Analysis/Research,AN,Businese analytical ,,,,
Retail Trade,Programming/Technical,PR,R,,,,
Retail Trade,Programming/Technical,PR,Python,,,,
Retail Trade,Soft Skill,SS,communication,,,,
Information Technology,Analysis/Research,AN,data analytics ,,,,
Information Technology,Soft Skill,SS,communication ,,,,
Information Technology,Modeling,MOD,Statistic modeling,,,,
Information Technology,Soft Skill,SS,teamwork,,,,
Information Technology,Programming/Technical,PR,Hadoop,,,,
Information Technology,Programming/Technical,PR,data mining,,,,
Information Technology,Programming/Technical,PR,big data,,,,
Information Technology,Programming/Technical,PR,spark,,,,
Information Technology,Programming/Technical,PR,web ananlysis,,,,
Information Technology,Programming/Technical,PR,C#,,,,
Information Technology,Programming/Technical,PR,JavaScript,,,,
Information Technology,Programming/Technical,PR,Perl,,,,
Information Technology,Programming/Technical,PR,HTML,,,,
Information Technology,Soft Skill,SS,Leadership,,,,
Information Technology,Programming/Technical,PR,DB,,,,
Information Technology,Programming/Technical,PR,ETL,,,,
Information Technology,Programming/Technical,PR,SQL,,,,
Information Technology,Programming/Technical,PR,R,,,,
Information Technology,Programming/Technical,PR,Hadoop,,,,
Information Technology,Programming/Technical,PR,machine learning,,,,
Information Technology,Soft Skill,SS,team work,,,,
